"","trisk","df","logLik","AIC","BIC","Method","Cancer","Age","Sex","Database"
"52",277109,2,-66450.32,132904.639,132922.559,"Log-logistic","Prostate","All","Male","CPRD_GOLD"
"53",277109,2,-66982.837,133969.674,133987.593,"Log-normal","Prostate","All","Male","CPRD_GOLD"
"54",277109,3,-66342.462,132690.924,132717.803,"Generalised Gamma","Prostate","All","Male","CPRD_GOLD"
"55",277109,3,-66340.641,132687.281,132714.161,"Spline (1 knot)","Prostate","All","Male","CPRD_GOLD"
"56",277109,5,-66318.718,132647.436,132692.236,"Spline (3 knots)","Prostate","All","Male","CPRD_GOLD"
"57",10334,2,-7064.099,14132.197,14145.6,"Gompertz","Stomach","All","Both","CPRD_GOLD"
"58",10334,2,-7395.82,14795.64,14809.043,"WeibullPH","Stomach","All","Both","CPRD_GOLD"
"59",10334,1,-8423.387,16848.774,16855.475,"Exponential","Stomach","All","Both","CPRD_GOLD"
"60",10334,2,-6978.378,13960.756,13974.159,"Log-logistic","Stomach","All","Both","CPRD_GOLD"
"61",10334,2,-6973.909,13951.817,13965.22,"Log-normal","Stomach","All","Both","CPRD_GOLD"
"62",10334,3,-6953.738,13913.476,13933.581,"Generalised Gamma","Stomach","All","Both","CPRD_GOLD"
"63",10334,3,-6918.76,13843.519,13863.624,"Spline (1 knot)","Stomach","All","Both","CPRD_GOLD"
"64",10334,5,-6900.807,13811.614,13845.122,"Spline (3 knots)","Stomach","All","Both","CPRD_GOLD"
"65",443165,2,-72642.991,145289.983,145308.509,"Gompertz","Breast","All","Female","CPRD_GOLD"
"66",443165,2,-72671.03,145346.059,145364.586,"WeibullPH","Breast","All","Female","CPRD_GOLD"
"67",443165,1,-72865.544,145733.089,145742.352,"Exponential","Breast","All","Female","CPRD_GOLD"
"68",443165,2,-72629.131,145262.261,145280.788,"Log-logistic","Breast","All","Female","CPRD_GOLD"
"69",443165,2,-72890.68,145785.36,145803.886,"Log-normal","Breast","All","Female","CPRD_GOLD"
"70",443165,3,-72628.978,145263.955,145291.745,"Generalised Gamma","Breast","All","Female","CPRD_GOLD"
"71",443165,3,-72631.309,145268.618,145296.407,"Spline (1 knot)","Breast","All","Female","CPRD_GOLD"
"72",443165,5,-72613.108,145236.215,145282.531,"Spline (3 knots)","Breast","All","Female","CPRD_GOLD"
"73",2212,2,-540.134,1084.267,1092.463,"Gompertz","Breast","All","Male","CPRD_GOLD"
"74",2212,2,-540.081,1084.162,1092.358,"WeibullPH","Breast","All","Male","CPRD_GOLD"
"75",2212,1,-540.139,1082.278,1086.376,"Exponential","Breast","All","Male","CPRD_GOLD"
"76",2212,2,-540.22,1084.439,1092.635,"Log-logistic","Breast","All","Male","CPRD_GOLD"
"77",2212,2,-546.159,1096.318,1104.514,"Log-normal","Breast","All","Male","CPRD_GOLD"
"78",2212,3,-539.994,1085.988,1098.282,"Generalised Gamma","Breast","All","Male","CPRD_GOLD"
"79",2212,3,-540.068,1086.137,1098.431,"Spline (1 knot)","Breast","All","Male","CPRD_GOLD"
"80",2212,5,-539.676,1089.351,1109.842,"Spline (3 knots)","Breast","All","Male","CPRD_GOLD"
"81",80291,2,-28034.49,56072.981,56088.828,"Gompertz","Colorectal","All","Female","CPRD_GOLD"
"82",80291,2,-27779.317,55562.634,55578.482,"WeibullPH","Colorectal","All","Female","CPRD_GOLD"
"83",80291,1,-29401.391,58804.783,58812.707,"Exponential","Colorectal","All","Female","CPRD_GOLD"
"84",80291,2,-27622.142,55248.284,55264.131,"Log-logistic","Colorectal","All","Female","CPRD_GOLD"
"85",80291,2,-27506,55016,55031.848,"Log-normal","Colorectal","All","Female","CPRD_GOLD"
"86",80291,3,-27505.92,55017.84,55041.611,"Generalised Gamma","Colorectal","All","Female","CPRD_GOLD"
"87",80291,3,-27516.449,55038.898,55062.669,"Spline (1 knot)","Colorectal","All","Female","CPRD_GOLD"
"88",80291,5,-27483.382,54976.764,55016.383,"Spline (3 knots)","Colorectal","All","Female","CPRD_GOLD"
"89",98810,2,-36219.43,72442.86,72459.132,"Gompertz","Colorectal","All","Male","CPRD_GOLD"
"90",98810,2,-36134.411,72272.822,72289.094,"WeibullPH","Colorectal","All","Male","CPRD_GOLD"
"91",98810,1,-37532.973,75067.945,75076.081,"Exponential","Colorectal","All","Male","CPRD_GOLD"
"92",98810,2,-35950.723,71905.446,71921.718,"Log-logistic","Colorectal","All","Male","CPRD_GOLD"
"93",98810,2,-35905.349,71814.698,71830.97,"Log-normal","Colorectal","All","Male","CPRD_GOLD"
"94",98810,3,-35885.553,71777.106,71801.514,"Generalised Gamma","Colorectal","All","Male","CPRD_GOLD"
"95",98810,3,-35893.156,71792.311,71816.719,"Spline (1 knot)","Colorectal","All","Male","CPRD_GOLD"
"96",98810,5,-35880.553,71771.106,71811.786,"Spline (3 knots)","Colorectal","All","Male","CPRD_GOLD"
"97",13624,2,-4322.905,8649.81,8661.983,"Gompertz","Head_and_neck","All","Female","CPRD_GOLD"
"98",13624,2,-4314.677,8633.354,8645.526,"WeibullPH","Head_and_neck","All","Female","CPRD_GOLD"
"99",13624,1,-4461.62,8925.24,8931.326,"Exponential","Head_and_neck","All","Female","CPRD_GOLD"
"100",13624,2,-4293.039,8590.077,8602.25,"Log-logistic","Head_and_neck","All","Female","CPRD_GOLD"
"101",13624,2,-4270.652,8545.303,8557.476,"Log-normal","Head_and_neck","All","Female","CPRD_GOLD"
"102",13624,3,-4269.931,8545.862,8564.121,"Generalised Gamma","Head_and_neck","All","Female","CPRD_GOLD"
"103",13624,3,-4271.912,8549.825,8568.084,"Spline (1 knot)","Head_and_neck","All","Female","CPRD_GOLD"
"104",13624,5,-4260.595,8531.189,8561.621,"Spline (3 knots)","Head_and_neck","All","Female","CPRD_GOLD"
"105",29743,2,-10246.344,20496.689,20510.509,"Gompertz","Head_and_neck","All","Male","CPRD_GOLD"
"106",29743,2,-10235.62,20475.24,20489.06,"WeibullPH","Head_and_neck","All","Male","CPRD_GOLD"
"107",29743,1,-10509.328,21020.655,21027.566,"Exponential","Head_and_neck","All","Male","CPRD_GOLD"
"108",29743,2,-10185.97,20375.941,20389.761,"Log-logistic","Head_and_neck","All","Male","CPRD_GOLD"
"109",29743,2,-10155.315,20314.63,20328.45,"Log-normal","Head_and_neck","All","Male","CPRD_GOLD"
"110",29743,3,-10154.012,20314.024,20334.754,"Generalised Gamma","Head_and_neck","All","Male","CPRD_GOLD"
"111",29743,3,-10148.515,20303.03,20323.76,"Spline (1 knot)","Head_and_neck","All","Male","CPRD_GOLD"
"112",29743,5,-10135.649,20281.299,20315.849,"Spline (3 knots)","Head_and_neck","All","Male","CPRD_GOLD"
"113",1060,2,-780.782,1565.564,1575.019,"Gompertz","Liver","All","Female","CPRD_GOLD"
"114",1060,2,-810.51,1625.02,1634.475,"WeibullPH","Liver","All","Female","CPRD_GOLD"
"115",1060,1,-959.488,1920.976,1925.703,"Exponential","Liver","All","Female","CPRD_GOLD"
"116",1060,2,-760.706,1525.411,1534.866,"Log-logistic","Liver","All","Female","CPRD_GOLD"
"117",1060,2,-755.429,1514.858,1524.313,"Log-normal","Liver","All","Female","CPRD_GOLD"
"118",1060,3,-752.062,1510.124,1524.306,"Generalised Gamma","Liver","All","Female","CPRD_GOLD"
"119",1060,3,-752.384,1510.767,1524.95,"Spline (1 knot)","Liver","All","Female","CPRD_GOLD"
"120",1060,5,-749.461,1508.922,1532.559,"Spline (3 knots)","Liver","All","Female","CPRD_GOLD"
"121",2895,2,-2275.876,4555.751,4567.124,"Gompertz","Liver","All","Male","CPRD_GOLD"
"122",2895,2,-2301.93,4607.86,4619.233,"WeibullPH","Liver","All","Male","CPRD_GOLD"
"123",2895,1,-2594.51,5191.02,5196.706,"Exponential","Liver","All","Male","CPRD_GOLD"
"124",2895,2,-2227.362,4458.725,4470.097,"Log-logistic","Liver","All","Male","CPRD_GOLD"
"125",2895,2,-2215.528,4435.055,4446.427,"Log-normal","Liver","All","Male","CPRD_GOLD"
"126",2895,3,-2215.523,4437.046,4454.104,"Generalised Gamma","Liver","All","Male","CPRD_GOLD"
"127",2895,3,-2220.004,4446.008,4463.067,"Spline (1 knot)","Liver","All","Male","CPRD_GOLD"
"128",2895,5,-2215.441,4440.881,4469.312,"Spline (3 knots)","Liver","All","Male","CPRD_GOLD"
"129",22591,2,-17410.885,34825.771,34841.171,"Gompertz","Lung","All","Female","CPRD_GOLD"
"130",22591,2,-17925.802,35855.605,35871.005,"WeibullPH","Lung","All","Female","CPRD_GOLD"
"131",22591,1,-20003.048,40008.097,40015.797,"Exponential","Lung","All","Female","CPRD_GOLD"
"132",22591,2,-17127.281,34258.562,34273.963,"Log-logistic","Lung","All","Female","CPRD_GOLD"
"133",22591,2,-17090.291,34184.581,34199.982,"Log-normal","Lung","All","Female","CPRD_GOLD"
"134",22591,3,-17086.663,34179.327,34202.427,"Generalised Gamma","Lung","All","Female","CPRD_GOLD"
"135",22591,3,-17077.867,34161.733,34184.834,"Spline (1 knot)","Lung","All","Female","CPRD_GOLD"
